"","priceType","area","yyyymm","day","deposit","price","floor","build","aptType","yyyy","mm","si"
"1350168","월세",46.42,201908,"12",4597,9,17,"2014","아파트","2019","08","화성시"
"700671","월세",24.36,201701,"3",200,30,1,"2001","연립다세대","2017","01","안산상록구"
"653174","전세",136.08,201702,"28",7500,0,1,"1994","단독다가구","2017","02","의정부시"
"1444307","전세",64.56,201902,"19",10000,0,1,"2018","단독다가구","2019","02","평택시"
"594025","월세",23.14,201712,"26",2000,45,1,"2012","단독다가구","2017","12","성남분당구"
"683364","월세",32.13,201710,"14",500,30,-1,"1990","연립다세대","2017","10","부천시"
"530774","월세",124.821,201702,"22",2000,80,13,"2007","아파트","2017","02","파주시"
"297455","전세",113.08,201608,"26",8000,0,1,"1994","단독다가구","2016","08","파주시"
"1170632","전세",59.539,201905,"25",20000,0,9,"2017","아파트","2019","05","김포시"
"703871","월세",78.87,201705,"19",2607,6,1,"2013","연립다세대","2017","05","양주시"
"80512","전세",134.55,201611,"16",57000,0,10,"1992","아파트","2016","11","성남분당구"
"1165524","월세",59.07,201901,"21",9600,21,20,"2018","아파트","2019","01","군포시"
"1199807","전세",45,201910,"29",18000,0,15,"1996","아파트","2019","10","부천시"
"1166543","월세",49.69,201902,"28",5000,40,13,"1995","아파트","2019","02","군포시"
"152119","전세",146.274,201610,"6",41000,0,9,"2001","아파트","2016","10","용인수지구"
"1443878","전세",24,201911,"13",4000,0,1,"2012","단독다가구","2019","11","평택시"
"1251820","전세",49.77,201910,"4",10000,0,11,"1994","아파트","2019","10","안산상록구"
"1206849","전세",59.13,201901,"19",39000,0,13,"1991","아파트","2019","01","성남분당구"
"660651","전세",60,201701,"19",10000,0,1,"2016","단독다가구","2017","01","평택시"
"417377","전세",108.6002,201710,"20",21000,0,4,"2000","아파트","2017","10","김포시"
"1470518","전세",56.91,201906,"28",15500,0,3,"2003","연립다세대","2019","06","부천시"
"877154","전세",75.3115,201803,"28",19500,0,4,"2018","아파트","2018","03","오산시"
"152511","월세",84.9959,201611,"19",7000,100,9,"2004","아파트","2016","11","용인수지구"
"1013766","월세",50,201805,"6",4000,40,1,"1996","단독다가구","2018","05","안산상록구"
"477074","전세",75.56,201711,"30",28000,0,4,"2001","아파트","2017","11","안산단원구"
"1026552","월세",19.27,201802,"23",100,30,1,"2002","단독다가구","2018","02","오산시"
"900331","전세",42.84,201801,"29",12000,0,2,"1986","아파트","2018","01","의왕시"
"1494010","전세",84.5541,201903,"24",20000,0,2,"2019","연립다세대","2019","03","용인처인구"
"944785","월세",84.9933,201810,"31",17100,12,13,"2018","아파트","2018","10","화성시"
"692641","전세",28.49,201712,"16",16000,0,6,"2017","연립다세대","2017","12","수원장안구"
"118732","전세",50,201607,"15",21000,0,11,"1993","아파트","2016","07","안양동안구"
"902328","전세",59.994,201809,"15",18000,0,4,"2005","아파트","2018","09","의정부시"
"716129","전세",36.85,201709,"6",13500,0,7,"2003","오피스텔","2017","09","고양일산동구"
"1449983","전세",35.7,201906,"14",10000,0,1,"2013","단독다가구","2019","06","화성시"
"93525","월세",49.14,201612,"17",2000,50,5,"1993","아파트","2016","12","수원권선구"
"239186","전세",41.61,201605,"30",6000,0,1,"1990","단독다가구","2016","05","성남수정구"
"1086849","월세",62.41,201808,"22",638,36,3,"2018","연립다세대","2018","08","안양만안구"
"323482","월세",59.89,201601,"11",10000,10,2,"2001","연립다세대","2016","01","부천시"
"468392","전세",81.45,201710,"11",12000,0,7,"1995","아파트","2017","10","수원장안구"
"1243274","전세",48.45,201912,"11",12000,0,2,"1999","아파트","2019","12","시흥시"
"987830","전세",51.94,201812,"6",8500,0,1,"1984","단독다가구","2018","12","성남수정구"
"354463","월세",30.621,201609,"6",4000,50,2,"2016","연립다세대","2016","09","화성시"
"1332803","전세",84.95,201911,"16",41000,0,8,"2014","아파트","2019","11","하남시"
"1281635","전세",59.959,201903,"2",19500,0,13,"2001","아파트","2019","03","용인기흥구"
"878267","전세",74.975,201809,"20",17000,0,20,"2018","아파트","2018","09","오산시"
"150293","월세",134.387,201608,"26",23000,70,10,"2001","아파트","2016","08","용인수지구"
"1216888","전세",84.94,201909,"20",50000,0,5,"2017","아파트","2019","09","성남수정구"
"300973","전세",72,201608,"1",5000,0,1,"1994","단독다가구","2016","08","평택시"
"711219","월세",31.16,201706,"14",200,40,2,"2009","연립다세대","2017","06","평택시"
"1340041","월세",47.23,201904,"24",2747,19,1,"2009","아파트","2019","04","화성시"
"791143","전세",84.96,201804,"24",20000,0,7,"2009","아파트","2018","04","남양주시"
"582910","월세",52.8,201712,"27",1000,70,1,"2013","단독다가구","2017","12","남양주시"
"1095993","월세",20.72,201801,"4",3000,20,6,"2016","연립다세대","2018","01","평택시"
"445273","전세",84.88,201711,"8",49000,0,11,"1991","아파트","2017","11","성남분당구"
"788470","전세",59.957,201809,"1",14000,0,10,"2005","아파트","2018","09","남양주시"
"134466","월세",59.8903,201611,"9",2000,55,5,"2005","아파트","2016","11","양주시"
"573977","전세",40,201710,"11",9000,0,1,"2013","단독다가구","2017","10","광주시"
"263364","월세",26.91,201604,"22",400,40,1,"2003","단독다가구","2016","04","시흥시"
"239228","전세",42.21,201604,"25",7000,0,1,"null","단독다가구","2016","04","성남수정구"
"865025","전세",59.4,201811,"3",27500,0,9,"1993","아파트","2018","11","안양동안구"
"1294391","전세",99.9,201909,"24",34500,0,16,"1994","아파트","2019","09","용인수지구"
"277496","월세",60,201601,"16",9000,40,1,"2015","단독다가구","2016","01","안양만안구"
"1501192","월세",55.08,201911,"11",1000,35,2,"1992","연립다세대","2019","11","화성시"
"903843","전세",74.96,201806,"2",25000,0,11,"2013","아파트","2018","06","의정부시"
"1278642","전세",129.847,201907,"6",29000,0,6,"2000","아파트","2019","07","용인기흥구"
"397193","월세",59.39,201710,"25",16000,23,13,"1990","아파트","2017","10","광명시"
"1309842","전세",59.992,201903,"14",15000,0,16,"1995","아파트","2019","03","의정부시"
"622365","월세",26,201709,"1",1500,20,1,"2002","단독다가구","2017","09","수원팔달구"
"412357","월세",84.86,201709,"4",12300,19,2,"2017","아파트","2017","09","김포시"
"1515616","월세",27.25,201912,"5",21000,10,6,"2014","오피스텔","2019","12","성남분당구"
"837507","월세",84.81,201802,"20",17534,33,25,"2013","아파트","2018","02","수원영통구"
"128651","전세",131.757,201611,"19",39000,0,3,"2010","아파트","2016","11","안양만안구"
"833315","전세",103.4857,201805,"8",44000,0,19,"2008","아파트","2018","05","수원영통구"
"1058211","전세",47.16,201802,"26",13700,0,2,"1994","연립다세대","2018","02","광명시"
"1115716","월세",26.28,201807,"16",1000,35,8,"2003","오피스텔","2018","07","안산단원구"
"265763","전세",53,201606,"13",13000,0,1,"2013","단독다가구","2016","06","안산단원구"
"578843","전세",44.23,201702,"15",8500,0,1,"1996","단독다가구","2017","02","군포시"
"318454","월세",32.22,201601,"26",500,30,2,"2010","연립다세대","2016","01","김포시"
"325954","전세",55.16,201605,"22",11000,0,5,"2002","연립다세대","2016","05","부천시"
"1007184","월세",18,201812,"10",100,25,1,"null","단독다가구","2018","12","수원팔달구"
"683924","전세",48.95,201710,"7",9000,0,3,"2002","연립다세대","2017","10","부천시"
"1486866","전세",50,201908,"7",8000,0,2,"2012","연립다세대","2019","08","안산상록구"
"1534629","전세",21.73,201905,"20",9500,0,8,"2019","오피스텔","2019","05","하남시"
"1208319","전세",84.78,201906,"20",60000,0,16,"1993","아파트","2019","06","성남분당구"
"560322","전세",78.34,201705,"11",11000,0,1,"null","단독다가구","2017","05","가평군"
"1304007","전세",84.9818,201911,"22",30000,0,1,"2016","아파트","2019","11","의정부시"
"1289279","전세",37.339,201907,"15",20000,0,6,"2017","아파트","2019","07","용인수지구"
"1205627","월세",83.698,201912,"16",5000,175,8,"2009","아파트","2019","12","성남분당구"
"71037","월세",43.2,201602,"27",500,30,2,"1986","아파트","2016","02","부천시"
"611495","전세",20,201702,"7",4500,0,1,"2006","단독다가구","2017","02","수원권선구"
"1536070","전세",20.96,201903,"30",8900,0,8,"2017","오피스텔","2019","03","화성시"
"1156243","전세",59.39,201903,"22",21000,0,10,"1990","아파트","2019","03","광명시"
"109620","월세",48.45,201607,"27",1000,60,8,"1999","아파트","2016","07","시흥시"
"1030413","전세",66,201806,"13",16000,0,1,"2015","단독다가구","2018","06","용인기흥구"
"855137","전세",84.39,201803,"17",20000,0,11,"2010","아파트","2018","03","안산상록구"
"853423","전세",84.98,201812,"6",22000,0,24,"2015","아파트","2018","12","안산단원구"
"796410","전세",59.9632,201811,"19",14500,0,18,"2015","아파트","2018","11","남양주시"
"58185","전세",84.9308,201602,"14",25000,0,1,"2012","아파트","2016","02","남양주시"
"659049","월세",10,201705,"15",300,20,1,"null","단독다가구","2017","05","파주시"
"1354957","월세",42,201907,"5",2000,50,1,"2009","단독다가구","2019","07","고양덕양구"
"77165","전세",98.986,201608,"27",75000,0,4,"2011","아파트","2016","08","성남분당구"
"1088948","월세",18.887,201808,"14",500,42,3,"2012","연립다세대","2018","08","용인기흥구"
"248909","전세",60,201610,"4",23000,0,1,"2014","단독다가구","2016","10","성남중원구"
"557017","전세",69.98,201702,"19",29000,0,14,"2015","아파트","2017","02","화성시"
"1332924","전세",84.72,201901,"22",30000,0,3,"2015","아파트","2019","01","하남시"
"1071443","전세",68.64,201807,"16",20000,0,4,"2003","연립다세대","2018","07","성남분당구"
"866487","전세",84.51,201801,"27",40000,0,12,"1992","아파트","2018","01","안양동안구"
"223925","월세",49.5,201602,"12",1500,35,1,"1986","단독다가구","2016","02","부천시"
"740263","전세",59.98,201804,"16",21000,0,15,"1996","아파트","2018","04","고양덕양구"
"448891","전세",134.79,201708,"8",53000,0,5,"1994","아파트","2017","08","성남분당구"
"960928","월세",40,201807,"28",1000,53,1,"2011","단독다가구","2018","07","광주시"
"843","전세",84.88,201610,"19",34000,0,14,"2013","아파트","2016","10","고양덕양구"
"876696","월세",51.99,201807,"20",3591,24,14,"2010","아파트","2018","07","오산시"
"1334378","전세",49.98,201903,"23",20500,0,16,"1994","아파트","2019","03","하남시"
"870702","전세",83.44,201810,"26",15000,0,16,"2001","아파트","2018","10","양주시"
"962129","전세",30,201810,"24",5000,0,1,"1970","단독다가구","2018","10","구리시"
"1204005","전세",84.6,201911,"9",50000,0,11,"1995","아파트","2019","11","성남분당구"
"901031","전세",79.74,201808,"29",26500,0,8,"1994","아파트","2018","08","의왕시"
"1125033","전세",42.75,201808,"19",18500,0,24,"2011","오피스텔","2018","08","화성시"
"335243","전세",72.51,201608,"19",13000,0,3,"1990","연립다세대","2016","08","안산단원구"
"1389985","전세",52.48,201911,"18",5000,0,1,"1997","단독다가구","2019","11","성남수정구"
"68015","전세",84.94,201604,"28",32000,0,19,"2010","아파트","2016","04","부천시"
"718365","월세",23.83,201707,"24",500,35,16,"2017","오피스텔","2017","07","광명시"
"1384841","전세",64,201907,"4",21000,0,1,"2010","단독다가구","2019","07","성남분당구"
"979276","전세",23,201805,"25",6500,0,1,"2001","단독다가구","2018","05","성남분당구"
"252574","월세",20,201608,"30",100,15,1,"1986","단독다가구","2016","08","수원권선구"
"23550","월세",70.75,201603,"8",5000,65,1,"1985","아파트","2016","03","광명시"
"770458","전세",42.75,201803,"10",15000,0,9,"1993","아파트","2018","03","군포시"
"1399320","전세",50,201902,"15",7000,0,1,"2007","단독다가구","2019","02","수원권선구"
"319416","월세",55.68,201611,"15",1500,40,1,"2009","연립다세대","2016","11","남양주시"
"1253007","전세",59.67,201909,"7",5000,0,10,"1999","아파트","2019","09","안성시"
"541415","전세",51.84,201701,"7",3000,0,1,"1991","아파트","2017","01","평택시"
"645482","월세",26,201705,"18",7000,5,1,"2010","단독다가구","2017","05","용인기흥구"
"944448","월세",46.82,201809,"18",8565,22,2,"2016","아파트","2018","09","화성시"
"1493506","전세",47.7,201909,"24",6000,0,1,"1992","연립다세대","2019","09","용인처인구"
"998592","전세",43.29,201801,"16",9000,0,1,"2008","단독다가구","2018","01","수원권선구"
"622574","전세",26.4,201711,"27",6000,0,1,"2017","단독다가구","2017","11","수원팔달구"
"481028","전세",59.15,201704,"19",18000,0,4,"1994","아파트","2017","04","안산상록구"
"980828","전세",66,201809,"12",25000,0,1,"1997","단독다가구","2018","09","성남분당구"
"77722","전세",83.235,201604,"8",55000,0,9,"2009","아파트","2016","04","성남분당구"
"107783","전세",59.85,201605,"10",16000,0,17,"1999","아파트","2016","05","시흥시"
"83683","월세",158.4,201602,"20",35000,60,19,"1992","아파트","2016","02","성남분당구"
"898702","전세",59.4,201807,"27",10000,0,7,"1995","아파트","2018","07","용인처인구"
"873514","전세",84.9218,201811,"9",14000,0,6,"2005","아파트","2018","11","양주시"
"337338","전세",13.84,201601,"20",5000,0,4,"2013","연립다세대","2016","01","안산상록구"
"937914","전세",84.99,201804,"13",20000,0,2,"2002","아파트","2018","04","화성시"
"407178","전세",41.85,201703,"4",15000,0,11,"1993","아파트","2017","03","군포시"
"576882","월세",36,201704,"21",600,40,1,"1993","단독다가구","2017","04","구리시"
"1494272","월세",51.48,201903,"30",500,35,2,"1994","연립다세대","2019","03","용인처인구"
"755058","월세",59.859,201812,"11",2000,70,6,"2000","아파트","2018","12","고양일산서구"
"1354169","전세",70,201908,"12",19000,0,1,"2015","단독다가구","2019","08","고양덕양구"
"1273130","월세",84.95,201909,"11",15400,25,4,"2017","아파트","2019","09","오산시"
"376851","전세",71.55,201707,"22",28000,0,15,"1994","아파트","2017","07","고양덕양구"
"704292","월세",54.57,201711,"19",100,20,3,"1986","연립다세대","2017","11","양평군"
"1277903","월세",84.899,201911,"11",4000,105,19,"2007","아파트","2019","11","용인기흥구"
"1422219","전세",40,201908,"14",3500,0,1,"2002","단독다가구","2019","08","양주시"
"1300125","전세",35.55,201911,"12",8000,0,3,"1986","아파트","2019","11","의왕시"
"1232354","전세",84.624,201908,"6",25500,0,5,"2005","아파트","2019","08","수원장안구"
"1115813","월세",18.53,201803,"5",500,35,6,"2017","오피스텔","2018","03","안산단원구"
"614531","전세",51,201710,"17",5000,0,1,"1989","단독다가구","2017","10","수원권선구"
"776588","전세",59.539,201812,"18",21000,0,19,"2017","아파트","2018","12","김포시"
"613220","월세",32.7,201707,"10",100,25,1,"1991","단독다가구","2017","07","수원권선구"
"933245","전세",82.3822,201810,"15",23000,0,6,"2018","아파트","2018","10","화성시"
"934365","전세",117.5061,201812,"1",33000,0,10,"2008","아파트","2018","12","화성시"
"1238904","전세",52.77,201904,"27",7000,0,4,"1991","아파트","2019","04","시흥시"
"354570","전세",41.92,201601,"14",10500,0,4,"2002","오피스텔","2016","01","고양덕양구"
"541434","월세",34.4,201702,"6",300,37,7,"2000","아파트","2017","02","평택시"
"1050721","월세",55,201805,"14",1000,80,1,"null","단독다가구","2018","05","화성시"
"1446520","전세",35,201908,"24",7000,0,1,"1984","단독다가구","2019","08","하남시"
"1442202","전세",60,201904,"9",9000,0,1,"2015","단독다가구","2019","04","평택시"
"696641","전세",19.5,201704,"11",5500,0,3,"2015","연립다세대","2017","04","안산단원구"
"865308","전세",35.08,201804,"25",15000,0,4,"2014","아파트","2018","04","안양동안구"
"1341375","전세",58.92,201903,"11",18000,0,24,"2017","아파트","2019","03","화성시"
"1028865","월세",30,201812,"20",500,50,1,"2008","단독다가구","2018","12","용인기흥구"
"932396","전세",95.4277,201806,"26",46000,0,2,"2016","아파트","2018","06","하남시"
"1085625","월세",15.1519,201808,"15",3000,30,4,"2012","연립다세대","2018","08","안양동안구"
"392650","전세",47.3,201712,"27",27000,0,3,"1982","아파트","2017","12","과천시"
"704124","전세",50.5,201705,"22",5000,0,2,"2009","연립다세대","2017","05","양평군"
"730338","월세",38.46,201705,"9",1000,60,10,"2003","오피스텔","2017","05","안양동안구"
"177265","전세",59.76,201607,"13",8000,0,2,"1999","아파트","2016","07","평택시"
"1087730","전세",54.03,201802,"5",3500,0,3,"1982","연립다세대","2018","02","여주시"
"108340","전세",84.94,201604,"12",19500,0,3,"1997","아파트","2016","04","시흥시"
"436043","월세",41.31,201710,"17",1000,40,5,"1984","아파트","2017","10","부천시"
"716464","월세",26.92,201712,"13",4000,33,7,"2004","오피스텔","2017","12","고양일산동구"
"423213","전세",84.41,201711,"4",25000,0,16,"1997","아파트","2017","11","남양주시"
"810071","전세",129.45,201803,"13",57000,0,9,"1994","아파트","2018","03","성남분당구"
"1112355","월세",27.56,201812,"22",3000,45,13,"2014","오피스텔","2018","12","수원영통구"
"567575","월세",40,201710,"21",300,44,1,"2003","단독다가구","2017","10","고양일산서구"
"1111744","월세",50.57,201802,"5",2000,50,3,"2017","오피스텔","2018","02","수원권선구"
"985596","월세",37.12,201806,"30",5000,15,1,"1980","단독다가구","2018","06","성남수정구"
"1327072","월세",74.766,201911,"27",1000,45,24,"2019","아파트","2019","11","평택시"
"595501","월세",59.76,201704,"11",12000,30,1,"1996","단독다가구","2017","04","성남분당구"
"1088340","전세",16.05,201807,"28",5000,0,4,"2016","연립다세대","2018","07","오산시"
"859309","월세",35.5956,201804,"10",1000,30,12,"2002","아파트","2018","04","안성시"
"1264673","전세",84.7,201911,"9",51000,0,23,"2016","아파트","2019","11","안양만안구"
"412186","월세",74.95,201708,"9",6500,41,12,"2017","아파트","2017","08","김포시"
"471119","월세",39.48,201705,"30",1325,11,11,"2009","아파트","2017","05","시흥시"
"577957","전세",32.19,201704,"26",5500,0,1,"2002","단독다가구","2017","04","구리시"
"1464357","전세",36.66,201904,"3",13000,0,4,"2018","연립다세대","2019","04","남양주시"
"1337667","월세",46.04,201910,"17",7000,10,5,"2019","아파트","2019","10","화성시"
"1146042","전세",117.9,201912,"27",41500,0,10,"1994","아파트","2019","12","고양일산서구"
"1111747","월세",45.59,201802,"12",2000,50,3,"2017","오피스텔","2018","02","수원권선구"
"610159","월세",108.33,201707,"25",4000,10,1,"1995","단독다가구","2017","07","성남중원구"
"74609","전세",60.72,201608,"10",28000,0,13,"1995","아파트","2016","08","성남분당구"
"498555","월세",51.7,201710,"26",2969,25,11,"2014","아파트","2017","10","양주시"
"331596","전세",37.72,201612,"15",5000,0,3,"1990","연립다세대","2016","12","수원장안구"
"130804","전세",84.16,201608,"29",17000,0,8,"1983","아파트","2016","08","안양만안구"
"1021302","전세",30,201805,"28",5000,0,1,"1989","단독다가구","2018","05","안양만안구"
"1203739","전세",58.71,201911,"21",31000,0,9,"1994","아파트","2019","11","성남분당구"
"1159978","전세",74.98,201911,"4",30500,0,22,"2017","아파트","2019","11","구리시"
"91974","전세",41.64,201608,"26",8500,0,5,"1988","아파트","2016","08","성남중원구"
"219991","월세",45,201610,"21",3000,40,1,"2012","단독다가구","2016","10","남양주시"
"1407631","월세",45,201904,"9",500,35,1,"1994","단독다가구","2019","04","수원팔달구"
"1473672","전세",49.41,201906,"22",13500,0,5,"2007","연립다세대","2019","06","성남수정구"
"601633","월세",60,201711,"18",17000,20,1,"2015","단독다가구","2017","11","성남수정구"
"108764","전세",124.77,201601,"30",22000,0,9,"1998","아파트","2016","01","시흥시"
"1002181","전세",98.71,201808,"15",32000,0,1,"2017","단독다가구","2018","08","수원영통구"
"183748","전세",84.89,201612,"24",37000,0,23,"2016","아파트","2016","12","하남시"
"264369","월세",26,201603,"12",500,37,1,"2010","단독다가구","2016","03","안산단원구"
"17828","전세",50.55,201609,"22",18500,0,5,"1994","아파트","2016","09","고양일산서구"
"1226083","전세",84.5303,201910,"30",50000,0,13,"2017","아파트","2019","10","수원영통구"
"636081","전세",55.62,201706,"10",9400,0,1,"1980","단독다가구","2017","06","안양동안구"
"1419560","월세",153.04,201902,"15",1500,50,1,"1983","단독다가구","2019","02","안양동안구"
"326937","전세",61.22,201606,"29",28000,0,1,"2005","연립다세대","2016","06","성남분당구"
"628012","월세",48,201707,"8",6000,25,1,"2009","단독다가구","2017","07","안산단원구"
"658801","월세",26,201708,"16",3000,15,1,"2006","단독다가구","2017","08","파주시"
"1409543","전세",20,201902,"11",4500,0,1,"2003","단독다가구","2019","02","시흥시"
"1149338","월세",84.961,201910,"15",50000,95,12,"2008","아파트","2019","10","과천시"
"1079812","월세",43.11,201806,"12",1000,42,2,"1989","연립다세대","2018","06","안산단원구"
"1118545","전세",25.35,201801,"22",10000,0,3,"2017","오피스텔","2018","01","용인기흥구"
"1052335","전세",60,201811,"29",10000,0,1,"null","단독다가구","2018","11","화성시"
"1257390","월세",114.607,201908,"7",3000,155,18,"2003","아파트","2019","08","안양동안구"
"1120327","전세",83.08,201803,"26",19000,0,7,"2015","오피스텔","2018","03","의정부시"
"255039","전세",49,201608,"17",7000,0,1,"1990","단독다가구","2016","08","수원영통구"
"367459","월세",46.66,201607,"25",1000,60,18,"2004","오피스텔","2016","07","안산단원구"
"186989","월세",36.62,201607,"4",3930,8,7,"2016","아파트","2016","07","화성시"
"549868","전세",132.66,201705,"10",45000,0,23,"2010","아파트","2017","05","화성시"
"13284","전세",52.056,201601,"2",17000,0,9,"1995","아파트","2016","01","고양일산서구"
"107900","월세",44.558,201609,"29",1000,50,8,"2004","아파트","2016","09","시흥시"
"184629","전세",49.98,201612,"23",19000,0,20,"1994","아파트","2016","12","하남시"
"91238","전세",84.95,201607,"16",40000,0,12,"2010","아파트","2016","07","성남중원구"
"1535780","전세",32.06,201901,"5",13000,0,5,"2013","오피스텔","2019","01","화성시"
"882556","월세",84.98,201810,"2",2000,80,1,"2006","아파트","2018","10","용인기흥구"
"1500407","월세",50.93,201906,"27",2000,30,3,"2015","연립다세대","2019","06","포천시"
"142965","월세",84.9849,201611,"22",20000,13,16,"2008","아파트","2016","11","용인기흥구"
"218766","전세",33,201601,"11",6000,0,1,"2015","단독다가구","2016","01","김포시"
"671903","전세",66.88,201711,"17",7500,0,4,"1992","연립다세대","2017","11","고양덕양구"
"1450443","전세",75.9,201905,"20",11000,0,1,"2011","단독다가구","2019","05","화성시"
"74938","전세",49.67,201611,"5",25000,0,21,"1995","아파트","2016","11","성남분당구"
"112686","월세",84.9897,201603,"5",2000,80,18,"2006","아파트","2016","03","안산단원구"
"1349213","전세",51.74,201903,"8",13000,0,13,"2003","아파트","2019","03","화성시"
"859259","월세",25.21,201807,"26",500,42,6,"2016","아파트","2018","07","안성시"
"1059745","전세",76.58,201807,"30",5000,0,3,"2002","연립다세대","2018","07","광주시"
"1036301","전세",56.94,201804,"26",4000,0,1,"1987","단독다가구","2018","04","의정부시"
"290196","월세",38,201607,"9",1000,30,1,"1989","단독다가구","2016","07","의왕시"
"1507123","월세",20.03,201912,"4",3000,25,6,"2004","오피스텔","2019","12","고양일산서구"
"997499","전세",43,201802,"27",5000,0,1,"1991","단독다가구","2018","02","수원권선구"
"905625","전세",59.47,201806,"23",17000,0,20,"1999","아파트","2018","06","의정부시"
"1239087","월세",84.7843,201906,"20",3000,50,1,"2009","아파트","2019","06","시흥시"
"810805","월세",101.25,201801,"25",25468,46,16,"2009","아파트","2018","01","성남분당구"
"77138","월세",105.1308,201604,"29",20000,180,9,"2011","아파트","2016","04","성남분당구"
"134841","월세",84.99,201612,"28",6240,27,15,"2014","아파트","2016","12","양주시"
"658123","월세",40,201704,"20",4000,10,1,"2010","단독다가구","2017","04","파주시"
"1234945","전세",47.25,201906,"25",9000,0,1,"1988","아파트","2019","06","수원팔달구"
"698924","월세",28.91,201707,"23",500,55,2,"2017","연립다세대","2017","07","안산상록구"
"1346904","월세",74.87,201910,"2",8000,61,14,"2018","아파트","2019","10","화성시"
"1013479","월세",42.9,201804,"1",1000,30,1,"1996","단독다가구","2018","04","안산상록구"
"251124","전세",37,201612,"9",6500,0,1,"2006","단독다가구","2016","12","수원권선구"
"359099","전세",71.02,201607,"9",17500,0,11,"2006","오피스텔","2016","07","부천시"
"638821","월세",49.5,201704,"23",500,38,1,"1989","단독다가구","2017","04","안양만안구"
"1154074","전세",49.94,201905,"25",16000,0,14,"1989","아파트","2019","05","광명시"
"138063","전세",59.867,201601,"16",12500,0,2,"2000","아파트","2016","01","오산시"
"606750","월세",22.22,201706,"1",300,20,1,"1993","단독다가구","2017","06","성남중원구"
"815984","전세",122.731,201811,"19",49000,0,14,"2003","아파트","2018","11","성남분당구"
"432791","전세",127.738,201704,"15",46000,0,8,"2002","아파트","2017","04","부천시"
"993547","전세",62.09,201804,"26",7500,0,1,"1988","단독다가구","2018","04","성남중원구"
"133277","월세",39.72,201606,"28",1509,10,4,"2010","아파트","2016","06","양주시"
"626609","월세",40,201705,"8",200,32,1,"1995","단독다가구","2017","05","안산단원구"
"10753","전세",84.94,201612,"15",27000,0,18,"2002","아파트","2016","12","고양일산동구"
"202958","전세",60,201607,"21",11000,0,1,"2000","단독다가구","2016","07","고양일산동구"
"492549","전세",79.56,201706,"27",32000,0,2,"2001","아파트","2017","06","안양만안구"
"1030454","전세",72.6,201801,"15",13000,0,1,"2010","단독다가구","2018","01","용인기흥구"
"1481069","전세",29.945,201901,"12",9000,0,4,"2018","연립다세대","2019","01","시흥시"
"405785","전세",41.85,201710,"16",15000,0,9,"1992","아파트","2017","10","군포시"
"1151124","전세",84.95,201903,"4",34000,0,7,"2011","아파트","2019","03","광명시"
"1075935","전세",33.7351,201807,"19",3000,0,2,"2016","연립다세대","2018","07","수원권선구"
"302473","월세",33,201611,"21",500,40,1,"1991","단독다가구","2016","11","하남시"
"1382414","월세",23,201901,"25",1000,42,1,"1995","단독다가구","2019","01","성남분당구"
"936194","전세",76.78,201812,"2",27000,0,1,"2007","아파트","2018","12","화성시"
"635896","월세",33,201712,"29",3000,30,1,"1988","단독다가구","2017","12","안양동안구"
"47838","월세",101.686,201606,"29",19000,26,12,"2014","아파트","2016","06","김포시"
"1462013","전세",33.14,201902,"13",12000,0,4,"1996","연립다세대","2019","02","구리시"
"1196312","전세",84.95,201908,"16",28000,0,18,"1995","아파트","2019","08","부천시"
"307037","전세",131.75,201610,"22",10000,0,1,"1993","단독다가구","2016","10","화성시"
"478257","전세",59.59,201711,"29",18500,0,14,"1998","아파트","2017","11","안산단원구"
"922467","전세",73.4816,201807,"8",15000,0,18,"2018","아파트","2018","07","평택시"
"176729","월세",59.98,201605,"28",7000,50,3,"2009","아파트","2016","05","평택시"
"314192","전세",42.64,201605,"20",4500,0,1,"1978","연립다세대","2016","05","광명시"
"125834","전세",58.32,201612,"24",28000,0,3,"1992","아파트","2016","12","안양동안구"
"1400816","월세",42,201911,"25",500,35,1,"1991","단독다가구","2019","11","수원권선구"
"1452238","월세",40,201910,"16",300,10,1,"1935","단독다가구","2019","10","화성시"
"229194","전세",84.22,201604,"22",4000,0,1,"1992","단독다가구","2016","04","부천시"
"547775","월세",84.9001,201705,"15",17000,10,5,"2005","아파트","2017","05","화성시"
"173641","전세",59.73,201603,"17",12500,0,8,"2001","아파트","2016","03","파주시"
"754220","전세",59.94,201808,"21",14500,0,7,"2001","아파트","2018","08","고양일산서구"
"349843","전세",52.8,201602,"29",5500,0,1,"1994","연립다세대","2016","02","이천시"
"168791","월세",129.159,201605,"31",3000,90,3,"2006","아파트","2016","05","파주시"
"703998","전세",45.6,201701,"10",1000,0,4,"2002","연립다세대","2017","01","양주시"
"600062","월세",25,201705,"2",300,26,1,"1993","단독다가구","2017","05","성남수정구"
"1024342","전세",104,201808,"1",5500,0,1,"null","단독다가구","2018","08","여주시"
"1386495","전세",115.71,201904,"29",55000,0,1,"2007","단독다가구","2019","04","성남수정구"
"1282149","전세",59.86,201912,"6",15000,0,10,"1999","아파트","2019","12","용인기흥구"
"198211","전세",65,201609,"25",18000,0,1,"2014","단독다가구","2016","09","고양덕양구"
"12048","월세",59.57,201611,"11",2942,29,1,"2006","아파트","2016","11","고양일산동구"
"654016","월세",23,201705,"23",300,33,1,"2001","단독다가구","2017","05","의정부시"
"300775","전세",19.8,201601,"17",3000,0,1,"2005","단독다가구","2016","01","평택시"
