"","priceType","area","yyyymm","day","deposit","price","floor","build","aptType","yyyy","mm","si"
"1276480","전세",59.84,201907,"16",15000,0,12,"2006","아파트","2019","07","용인기흥구"
"974549","월세",45,201806,"8",500,35,1,"1996","단독다가구","2018","06","부천시"
"74021","전세",58.14,201602,"13",30000,0,4,"1995","아파트","2016","02","성남분당구"
"648861","월세",44,201703,"8",6000,10,1,"1995","단독다가구","2017","03","용인수지구"
"1145231","월세",57.27,201904,"10",1500,70,11,"1993","아파트","2019","04","고양일산서구"
"1149719","전세",59.93,201910,"31",32000,0,5,"1997","아파트","2019","10","광명시"
"195701","전세",60.4624,201609,"27",11025,0,11,"2015","아파트","2016","09","화성시"
"1286554","전세",84.966,201901,"26",39000,0,15,"2002","아파트","2019","01","용인수지구"
"297297","월세",33,201610,"6",100,22,1,"2001","단독다가구","2016","10","파주시"
"24540","전세",59.67,201610,"17",43500,0,17,"2009","아파트","2016","10","광명시"
"768478","전세",57.15,201805,"1",11000,0,2,"1991","아파트","2018","05","구리시"
"394487","전세",84.983,201705,"20",37000,0,14,"2003","아파트","2017","05","광명시"
"1114096","전세",84.83,201805,"12",35000,0,8,"2015","오피스텔","2018","05","수원영통구"
"263746","전세",40,201603,"10",4500,0,1,"2001","단독다가구","2016","03","시흥시"
"612294","전세",35,201707,"18",5500,0,1,"2004","단독다가구","2017","07","수원권선구"
"7248","월세",60,201607,"3",4000,62,5,"1995","아파트","2016","07","고양덕양구"
"568209","월세",70,201704,"3",2000,90,1,"1982","단독다가구","2017","04","과천시"
"583861","전세",80.1,201706,"17",13000,0,1,"2004","단독다가구","2017","06","남양주시"
"397487","전세",58.46,201705,"16",23000,0,2,"1990","아파트","2017","05","광명시"
"394611","전세",84.9636,201709,"2",37000,0,6,"2017","아파트","2017","09","광명시"
"614064","전세",33.05,201704,"22",3000,0,1,"1987","단독다가구","2017","04","수원권선구"
"1338016","전세",82.1657,201906,"14",22500,0,5,"2019","아파트","2019","06","화성시"
"6073","전세",50,201601,"5",16500,0,6,"1996","아파트","2016","01","고양덕양구"
"229732","월세",111.84,201601,"12",15000,40,1,"1994","단독다가구","2016","01","부천시"
"186361","전세",98.7995,201607,"13",42000,0,9,"2016","아파트","2016","07","하남시"
"1256691","전세",114.96,201902,"27",32000,0,7,"2003","아파트","2019","02","안양동안구"
"660800","월세",40,201711,"23",400,61,1,"2017","단독다가구","2017","11","평택시"
"147354","전세",84.78,201605,"4",27000,0,2,"1998","아파트","2016","05","용인수지구"
"1512428","전세",21.25,201912,"19",7000,0,10,"2005","오피스텔","2019","12","부천시"
"1477591","전세",26.53,201902,"26",12000,0,2,"2019","연립다세대","2019","02","수원영통구"
"288892","전세",46.2,201607,"25",6000,0,1,"2014","단독다가구","2016","07","용인처인구"
"665016","전세",23.14,201703,"21",5000,0,1,"2002","단독다가구","2017","03","하남시"
"244227","월세",46.77,201609,"11",300,20,1,"1989","단독다가구","2016","09","성남수정구"
"670071","전세",30,201706,"15",5500,0,1,"2017","단독다가구","2017","06","화성시"
"551874","전세",84.91,201706,"17",23000,0,6,"2004","아파트","2017","06","화성시"
"712482","월세",28.03,201708,"15",500,52,5,"2015","연립다세대","2017","08","평택시"
"8556","월세",50.16,201607,"1",4000,53,7,"1994","아파트","2016","07","고양일산동구"
"656987","전세",49,201712,"15",13000,0,1,"2018","단독다가구","2017","12","파주시"
"1033554","월세",30,201801,"6",300,40,1,"2010","단독다가구","2018","01","용인처인구"
"678089","전세",14.19,201703,"30",5000,0,3,"2012","연립다세대","2017","03","구리시"
"1481158","월세",26.01,201901,"25",300,45,3,"2018","연립다세대","2019","01","시흥시"
"252550","월세",18,201608,"20",300,20,1,"1984","단독다가구","2016","08","수원권선구"
"1480303","전세",59.96,201902,"14",9000,0,4,"1999","연립다세대","2019","02","시흥시"
"157996","월세",41.31,201601,"13",2500,22,5,"1986","아파트","2016","01","의왕시"
"331418","전세",117.7957,201601,"6",52000,0,1,"2011","연립다세대","2016","01","수원영통구"
"170447","월세",84.2235,201611,"18",16000,30,6,"2010","아파트","2016","11","파주시"
"884605","전세",84.889,201808,"3",26000,0,14,"2014","아파트","2018","08","용인기흥구"
"488022","전세",59.76,201711,"4",35000,0,9,"2000","아파트","2017","11","안양동안구"
"1256875","전세",59.17,201906,"13",12000,0,4,"1981","아파트","2019","06","안양동안구"
"935674","전세",20.69,201810,"31",10000,0,8,"2008","아파트","2018","10","화성시"
"1368939","전세",35,201908,"15",12000,0,1,"2014","단독다가구","2019","08","군포시"
"323082","전세",38.34,201612,"24",8500,0,2,"1984","연립다세대","2016","12","부천시"
"1240732","월세",84.99,201911,"21",16000,27,6,"2019","아파트","2019","11","시흥시"
"1033569","전세",30,201806,"14",3700,0,1,"1997","단독다가구","2018","06","용인처인구"
"134767","월세",84.95,201612,"26",6240,27,15,"2014","아파트","2016","12","양주시"
"754881","전세",68.04,201805,"22",17500,0,6,"1994","아파트","2018","05","고양일산서구"
"67813","전세",64.335,201609,"1",18000,0,9,"1984","아파트","2016","09","부천시"
"137207","월세",37.47,201605,"18",2000,15,2,"2000","아파트","2016","05","오산시"
"985832","전세",39.6,201810,"27",5000,0,1,"1990","단독다가구","2018","10","성남수정구"
"1028242","월세",30,201810,"19",500,53,1,"2014","단독다가구","2018","10","용인기흥구"
"929301","전세",101.8919,201812,"27",48500,0,14,"2016","아파트","2018","12","하남시"
"1207601","월세",172.3,201907,"19",60000,15,15,"1992","아파트","2019","07","성남분당구"
"84091","전세",99.17,201601,"13",51500,0,3,"1992","아파트","2016","01","성남분당구"
"62661","전세",59.88,201612,"14",14000,0,10,"1997","아파트","2016","12","남양주시"
"1230134","월세",49.14,201903,"22",9000,14,15,"1992","아파트","2019","03","수원영통구"
"1246008","월세",54.9,201907,"26",1000,40,8,"1987","아파트","2019","07","안산단원구"
